 block_name,opening_balance,current_year_fund,efms_fund,misc_receipt_fund,refunded_by_po_to_dpc,total_fund_available,unskilled_wage_expense,skilled_wage_expense, material_expense,tax_expense,actual_expenditure,recurrent_expenditure , non_recurrent_expenditure,admin_expenditure, total_expenditure,balance_amount,unskilled_wage,semi-skilled_and_skilled_wage,due_material_payment,due_tax,payment_due
DEHLON,-1,0,289.39,0,0,288.39,264.63,3.58,9.81,1.55,279.57,9.83,89,9.83,787.3,-1,1.07,3.02,4.32,0.69,9.1
DORAHA,-0.02,0,503.44,0,0,503.43,468.69,9.84,0.86,0.12,479.51,23.94,0,23.94,717.29,-0.01,0.17,7.36,7.78,0.97,204.17
JAGRAON,-4.41,0,716.39,0,0,711.98,582.79,10.92,88.97,9.58,692.26,25.03,0,25.03,560.98,-5.31,6.25,13.85,95.84,14.74,130.68
KHANNA,0.2,0,479,0,0,479.2,415.19,4.46,35.92,3.25,458.82,20.21,0,20.21,535.27,0.17,0.42,10.16,187.52,6.07,101.83
LUDHIANA-1,-1.24,0,477.19,0,0,475.95,461.72,0.12,0,0,461.84,14.56,0,14.56,503.44,-0.44,4.21,2.04,31,4.08,62.89
LUDHIANA-2,0.71,0,788.92,0,0,789.63,695.56,8.1,56.37,6.1,766.13,21.16,0,21.16,489.39,2.33,2.6,6.93,46.61,6.75,41.33
MACHHIWARA,-1.78,0,542.23,0,0,540.45,502.65,4.06,9.25,1.26,517.22,18.05,0,18.05,479.03,5.18,1.2,10.08,82.22,8.33,37.68
MALOUD,-1.63,0,489.24,0,0,487.61,438.39,8.36,25.9,3.47,476.12,13.26,0,13.26,476.39,-1.78,0.03,0.37,2.14,0.31,25.29
PAKHOWAL,0.15,0,346.58,0,0,346.73,307.06,5.01,14.5,2.26,328.83,16.1,0,16.1,462.92,1.8,1.86,3.08,8.55,0.54,23.53
RAIKOT,-3.37,0,465.9,0,0,462.54,420.34,5.61,12.82,1.96,440.73,22.19,0,22.19,392.91,-0.39,0.13,7.68,13.98,1.74,16.28
SAMRALA,-1.48,0,392.91,0,0,391.42,370.63,7.21,1.49,0.15,379.48,13.44,0,13.44,344.92,-1.48,0.89,3.2,19.31,1.89,14.03
SIDHWAN BET,-1.64,0,298.25,0,0,296.61,242.27,6.72,30.31,4.31,283.61,11.28,0,11.28,294.88,1.72,2.6,2.59,6.63,1,12.82
SUDHAR,-2.04,0,560.98,0,0,558.94,494.84,4.43,39.96,3.43,542.66,18.32,0,18.32,289.39,-2.04,2.11,7.1,26.69,1.78,2.85
